"parental_education","family_income","internet_access","study_environment","study_hours_per_day","attendance_rate","sleep_hours","social_media_hours","assignment_completion_rate","participation_score","online_courses_completed","tutoring","pass"
"High School","Low","Yes","Moderate",4.58,77.3,8.73,0.3,88.1,96,2,"Yes",1
"High School","Low","Yes","Noisy",2.6,91.6,7.56,3.5,100,60.3,0,"Yes",1
"High School","Low","No","Moderate",3.88,88.7,4.12,2,96.2,55.1,1,"Yes",1
"High School","High","Yes","Quiet",4.39,100,6.58,5.2,48,63.2,3,"No",1
"Bachelor","High","Yes","Quiet",2.77,80.9,6.82,3,84,59.8,4,"Yes",1
"High School","Medium","Yes","Quiet",3.42,93.8,7.47,2.8,63,70.6,2,"Yes",1
"Master","Low","Yes","Quiet",4.91,88.9,6.01,0,93.8,66.1,1,"No",1
"Bachelor","Medium","Yes","Quiet",4.81,93.4,6.36,2.3,79.6,50.8,1,"Yes",1
"Master","Medium","Yes","Quiet",4.23,83.3,7.31,1,86.3,50.8,1,"No",1
"Bachelor","High","Yes","Quiet",1.98,90.7,7.13,1.6,52,72.3,1,"No",1
"Bachelor","Medium","Yes","Moderate",5.16,97,7.62,3.7,90.2,76.4,5,"No",1
"PhD","Medium","Yes","Quiet",3.39,74.3,7.93,0,88.4,55.5,3,"No",1
"Master","Low","Yes","Noisy",3.6,99,7.89,2,60.2,72,3,"No",1
"Bachelor","Low","No","Quiet",5.37,91.1,6.51,6.8,60.1,65.9,0,"No",1
"Bachelor","Low","Yes","Quiet",2.07,89.3,7.08,1.9,82,79.2,0,"Yes",1
"Bachelor","Medium","Yes","Quiet",5.03,78.8,6.74,1.4,62.8,70.5,1,"No",1
"High School","Medium","Yes","Quiet",2.3,87.6,7.23,1.3,67,56.6,4,"Yes",1
"Bachelor","High","Yes","Quiet",3.47,100,6.41,3.2,77.5,66.4,3,"No",1
"Bachelor","Low","Yes","Quiet",3.45,81.1,7.84,1.5,100,66.4,3,"No",1
"Bachelor","Low","Yes","Moderate",2.53,94.1,6.21,4.5,97.3,47.8,2,"Yes",1
"Master","Medium","Yes","Moderate",4.01,97.4,5.9,2.4,53.6,73,1,"No",1
"Bachelor","Medium","Yes","Moderate",2.49,76.2,5.64,1,76.9,66.2,1,"Yes",1
"Master","Medium","Yes","Moderate",2.5,87.5,7.29,4.4,93.9,81,1,"No",1
"Master","Medium","Yes","Quiet",4.2,100,7.22,2.4,62.7,76.1,2,"Yes",1
"Master","Low","Yes","Quiet",3.06,89,6.55,0.5,56.4,57.6,3,"Yes",1
"Master","Medium","No","Noisy",4.38,75.5,7.49,2.3,81.7,100,3,"No",1
"Bachelor","Medium","Yes","Quiet",3.84,81.8,7.99,0.9,89.6,68.4,4,"No",1
"High School","Low","Yes","Quiet",2.36,89.1,5.96,0,86.1,54.5,2,"No",1
"High School","High","Yes","Noisy",5.03,74.5,7.07,3.3,82.8,100,2,"No",1
"Bachelor","Medium","Yes","Moderate",3.31,86.2,5.08,4.2,98.1,65.5,2,"Yes",1
"High School","Low","Yes","Noisy",2.38,83.2,7.31,2.5,88.4,54.7,1,"No",1
"Bachelor","Low","Yes","Moderate",3.38,92,6.88,1.3,81.9,69.9,3,"No",1
"High School","Medium","Yes","Noisy",3.53,90.7,8.27,1.4,90.5,55.2,1,"No",1
"Master","Medium","Yes","Moderate",5.16,81,5.97,2.2,98.3,62,0,"No",1
"Master","Low","Yes","Moderate",4.39,79.1,7.79,1.6,92.4,77.7,3,"No",1
"Bachelor","Medium","Yes","Moderate",3.28,74,6.3,0.5,94,97.3,1,"No",1
"Master","Medium","No","Quiet",4.02,76.8,7.86,2.1,81.3,84.2,1,"Yes",1
"Master","Medium","Yes","Quiet",2.85,92.9,7.07,2.9,90.3,61.1,4,"No",1
"High School","Medium","Yes","Quiet",1.62,81,6.99,1.6,97.2,78.5,5,"No",1
"High School","Low","Yes","Quiet",4.03,70.4,5.14,4.1,95.7,43.1,3,"Yes",1
"High School","High","Yes","Moderate",3.3,88.6,6.87,2.8,67.6,62.3,3,"Yes",1
"Bachelor","Low","Yes","Quiet",4.16,99.8,6.31,2.9,89.1,78.8,0,"Yes",1
"PhD","Medium","Yes","Noisy",4.79,97.8,6.13,1.3,100,58,2,"No",1
"Master","Medium","Yes","Moderate",3.81,93.1,7.7,2.8,87.3,83.3,2,"Yes",1
"High School","Medium","Yes","Quiet",3.35,99.8,7.17,3.1,75.2,65.8,1,"Yes",1
"Bachelor","Low","Yes","Moderate",3.34,94.4,7.49,1.4,83.2,71.2,1,"No",1
"Bachelor","Medium","Yes","Moderate",3.18,83.8,6.51,0.8,67.9,86.1,4,"No",1
"High School","Medium","Yes","Quiet",2.45,100,6.96,1.4,79.7,77,5,"No",1
"Master","Low","Yes","Moderate",4.12,77.3,7.72,3,77,86,4,"Yes",1
"Master","Low","Yes","Noisy",4.54,100,5.49,3.6,81.7,81.9,7,"No",1
"High School","Low","Yes","Quiet",3.25,100,6.61,0.6,90.2,38.7,3,"Yes",1
"High School","Medium","Yes","Quiet",3.42,93.2,5.2,1.3,100,51.7,1,"No",1
"High School","High","Yes","Quiet",5.35,76.2,6.64,1.9,97.5,82.2,1,"Yes",1
"Master","Medium","Yes","Quiet",4.52,94.8,7.08,0,85.5,73.9,4,"No",1
"PhD","Medium","No","Quiet",3.64,84,6.17,3.9,90.3,65.3,1,"No",1
"Bachelor","Medium","Yes","Quiet",2.94,96.2,6.36,3.1,100,73.4,0,"No",1
"Master","Medium","Yes","Moderate",1.48,96.7,6.86,1.3,100,89.6,2,"Yes",1
"Master","High","Yes","Moderate",2.58,92.6,5,2.1,98.2,95,3,"No",1
"Bachelor","Medium","Yes","Quiet",1.99,83.5,5.9,4.2,81.9,67,2,"No",1
"Bachelor","Low","Yes","Quiet",3.63,88.1,6.09,3.4,80.9,77.7,2,"No",1
"Bachelor","High","Yes","Quiet",4.44,97.1,6.39,2.6,67.7,82.1,4,"No",1
"Bachelor","Medium","Yes","Moderate",4.61,84.9,6.97,1.3,73.7,82.7,2,"No",1
"Bachelor","Medium","Yes","Quiet",2.3,100,8.36,0.8,86.8,73.6,1,"Yes",1
"High School","Medium","No","Noisy",4.31,91,5.77,5.5,75.8,65.8,1,"Yes",1
"High School","Medium","Yes","Moderate",4.1,98.6,7.62,3.4,75.9,66.7,3,"No",1
"Master","Low","Yes","Moderate",3.07,100,7.03,1.3,86.8,70.8,0,"No",1
"Master","Medium","Yes","Quiet",4.41,94.6,6.88,2.4,87.6,51.1,4,"No",1
"Master","High","Yes","Quiet",3.36,74.4,6.56,0.4,93.2,57.1,2,"No",1
"Bachelor","Low","Yes","Moderate",4.19,71.9,6.91,0.8,68.8,44.9,2,"Yes",1
"PhD","High","Yes","Moderate",5.09,63.4,7.61,1.4,100,50.8,1,"Yes",1
"Bachelor","Medium","Yes","Noisy",5.08,97,7.12,4.5,95.9,38.5,1,"No",1
"Bachelor","Medium","Yes","Moderate",2.68,82.8,7.64,0.2,81.8,60.3,1,"Yes",1
"Bachelor","Medium","Yes","Moderate",3.16,79.5,6.12,2.1,100,90.3,2,"No",1
"High School","Medium","Yes","Moderate",5.75,66.6,6.55,4.1,91.7,80.5,0,"No",1
"Bachelor","High","Yes","Noisy",3.93,100,6.25,0,84.6,66.7,3,"Yes",1
"High School","Medium","Yes","Moderate",4.39,94.3,6.96,0.2,84.6,65.4,3,"No",1
"Bachelor","High","Yes","Moderate",4.58,76.5,6.86,3.2,97.7,100,2,"No",1
"High School","High","Yes","Moderate",3.89,86,5.52,1.4,85.2,70.1,0,"Yes",1
"Bachelor","Medium","Yes","Moderate",0.8,78.6,6.05,0.6,56,88.5,3,"No",1
"Bachelor","Medium","No","Quiet",2.8,100,6.04,2.3,99.4,59,3,"No",1
"Bachelor","Medium","Yes","Moderate",3.87,100,6.39,2.4,87.3,93.8,0,"No",1
"PhD","Medium","Yes","Noisy",3.96,100,8.35,2,87.5,96.6,1,"No",1
"High School","Medium","No","Moderate",4.68,79.3,5.49,0,100,92.7,2,"No",1
"Master","High","Yes","Noisy",5.37,89.1,7.73,2.2,86.7,58.4,2,"Yes",1
"High School","High","Yes","Moderate",3.61,75.4,7.39,1.5,70,68.4,2,"No",1
"Master","Low","Yes","Moderate",3.55,73.3,6.61,1.9,59,69.1,2,"No",1
"Master","High","Yes","Noisy",3.2,96.7,7.9,2.2,65.3,81.8,1,"No",1
"Bachelor","High","Yes","Moderate",4.18,97.2,7.75,1.9,74.4,87.9,2,"No",1
"Bachelor","Medium","Yes","Moderate",3.22,98.3,8.1,2.1,42.7,76.1,1,"No",1
"High School","High","No","Quiet",3.05,95.5,5.65,1,100,40.8,3,"No",1
"High School","High","Yes","Moderate",4.28,87.8,7.12,2.9,70.7,77.2,1,"No",1
"Master","Low","Yes","Moderate",1.38,82,6.52,0.7,67.2,76.6,2,"No",1
"High School","High","Yes","Quiet",5.58,93.5,7.32,3.7,78.5,54.8,1,"No",1
"PhD","High","Yes","Moderate",5.28,100,7.63,2.7,64.7,54.5,0,"Yes",1
"Master","Medium","Yes","Noisy",4.21,93.8,8.02,1.2,92.7,27.9,0,"Yes",1
"High School","High","Yes","Moderate",3.24,79.2,7.02,1.5,90.5,90.9,0,"No",1
"Bachelor","Medium","Yes","Moderate",3.82,86.8,8.03,3.2,84.4,77.1,2,"No",1
"High School","Low","Yes","Quiet",4.86,74.6,6.64,5,69.4,72.8,1,"No",1
"High School","Medium","No","Moderate",7.24,72.4,7.07,3,62.1,71.8,4,"No",1
"Bachelor","High","Yes","Moderate",4.68,87.5,7.33,2.6,87.2,39.9,1,"No",1
"Bachelor","Low","Yes","Moderate",2.51,78.1,7.52,1.2,100,84.5,2,"No",1
"High School","Low","Yes","Quiet",4.37,87.8,6.87,3.1,92.2,62.4,1,"No",1
"High School","Medium","Yes","Noisy",4.58,76.5,7.09,0.8,68.4,49.7,3,"No",1
"Bachelor","Medium","No","Moderate",3.79,99.2,8.13,6.4,86.6,49.5,3,"Yes",1
"Bachelor","Medium","Yes","Moderate",3.21,75.2,7.54,1.7,94.4,85,0,"No",1
"Bachelor","High","Yes","Moderate",3.29,85.7,8.21,0.6,81.4,72.7,1,"Yes",1
"High School","Medium","Yes","Quiet",2.83,77.5,7.92,1.5,94,72.6,2,"Yes",1
"Bachelor","Medium","Yes","Moderate",2.72,100,8.13,3.2,75.2,75.9,5,"No",1
"PhD","Medium","Yes","Noisy",3,87.4,6.32,2.1,91.7,80.5,2,"Yes",1
"Bachelor","Low","Yes","Quiet",4.41,90.7,7.61,1.5,58.3,100,2,"No",1
"Bachelor","Medium","Yes","Moderate",3.16,68.9,6.86,2.9,97.5,59.7,1,"No",1
"High School","Medium","Yes","Noisy",1.53,95.3,6.92,1.4,59.6,69.5,3,"No",1
"PhD","Medium","Yes","Moderate",3.04,90.5,6.99,0.9,79.2,56.2,5,"Yes",1
"High School","Medium","Yes","Moderate",2.16,98.4,6.12,3.4,74.1,84.9,3,"No",1
"Bachelor","High","Yes","Moderate",3.57,74.5,6.8,1.7,73.3,68.4,0,"No",1
"High School","High","Yes","Noisy",5.22,85,7.03,2,72.9,52.6,1,"No",1
"High School","Low","Yes","Quiet",2.93,70.6,5.43,3.2,72.9,61.7,5,"No",1
"High School","Low","Yes","Quiet",3.89,84.2,8.78,0,72,68.6,3,"No",1
"High School","Medium","Yes","Moderate",6.02,81.4,6.12,2.4,100,41.7,1,"No",1
"High School","Medium","Yes","Quiet",4.09,76.1,8.43,3.1,100,77.5,3,"No",1
"High School","Low","Yes","Quiet",3.89,94.8,5.61,3.4,85,65.6,3,"No",1
"Bachelor","High","Yes","Quiet",4.41,78.6,6.26,2.4,96.9,88.9,0,"Yes",1
"Master","Medium","Yes","Moderate",3.29,100,7.64,2.7,74.4,100,3,"No",1
"High School","Low","Yes","Quiet",3.13,82.6,6.85,1.7,100,92.8,2,"No",1
"Bachelor","Low","Yes","Quiet",3.28,82.4,7.77,2,72.7,44.7,3,"No",1
"High School","Medium","No","Quiet",2.58,94.9,6.64,2.8,63.1,65.4,4,"No",1
"Bachelor","Low","Yes","Quiet",3.46,94.5,7.9,0.4,92.6,96.7,2,"No",1
"Master","High","Yes","Moderate",1.51,76.1,7.05,0.6,95.5,70,3,"No",1
"High School","Medium","Yes","Moderate",1.77,92.5,9.56,1.6,71.4,77.2,3,"No",1
"Master","Low","Yes","Noisy",4.5,96.7,7.46,4.2,68.2,68.2,4,"No",1
"Bachelor","High","Yes","Quiet",4.22,99.2,6.43,1.2,100,73.2,0,"No",1
"Bachelor","Medium","Yes","Moderate",5.11,77.4,5.92,2.4,95.4,90.7,1,"No",1
"Bachelor","High","Yes","Quiet",4.24,100,9.63,2.3,80.5,68.6,1,"No",1
"High School","Medium","Yes","Moderate",5.23,84.3,5.78,2.4,95,67.5,2,"No",1
"High School","Low","Yes","Moderate",6.12,73.1,8.46,2.2,67.8,82.8,0,"Yes",1
"Master","Medium","Yes","Moderate",1.95,95.5,7.1,3.3,73.7,74.8,7,"No",1
"Bachelor","Medium","Yes","Quiet",3.64,79,8.96,3.4,71.8,67.5,0,"No",1
"Master","Low","Yes","Noisy",3.12,93.6,10,3.8,74.5,72.3,3,"No",1
"Master","Medium","Yes","Quiet",4.12,81.7,5.73,3.4,87.9,67.6,2,"No",1
"Bachelor","Medium","No","Moderate",3.89,80.7,7.02,4.1,83.1,91.3,3,"Yes",1
"Bachelor","High","No","Quiet",3.29,75.8,6.35,0,96.4,65.7,2,"No",1
"Master","Medium","Yes","Quiet",2.45,100,8.57,1.5,85,70.6,3,"No",1
"High School","Low","Yes","Moderate",4.93,88.9,6.85,2.7,48.8,83,2,"Yes",1
"Bachelor","Medium","Yes","Quiet",3.56,98.3,6.62,3.6,76.1,74.6,0,"No",1
"High School","Medium","Yes","Quiet",2.99,80.4,8.61,0,80.8,78.8,4,"No",1
"Bachelor","Low","Yes","Quiet",2.92,76.1,8.42,0.7,100,57.5,2,"No",1
"Bachelor","Medium","Yes","Moderate",3.59,89.3,7.8,2,76,65.1,2,"No",1
"Bachelor","Medium","Yes","Moderate",3.66,100,7.97,3,80.8,63.9,1,"No",1
"Bachelor","High","Yes","Moderate",3.85,100,8.94,4.5,75.7,85.2,2,"No",1
"Master","Medium","Yes","Moderate",4.3,92.4,7.15,2.7,75,57.7,1,"Yes",1
"High School","Low","Yes","Moderate",2.74,82.4,8.47,0.3,83.7,79.7,1,"Yes",1
"PhD","Low","Yes","Moderate",3.24,81.1,6.67,2.9,87.3,60.2,1,"No",1
"Bachelor","Low","No","Moderate",4.88,100,8.32,2.8,100,74.7,3,"Yes",1
"Bachelor","Medium","Yes","Quiet",2.24,90.4,5.85,2.1,98.6,80.1,3,"No",1
"High School","Medium","Yes","Quiet",2.84,86.6,8.18,3.4,83.1,54.5,1,"No",1
"Bachelor","Medium","Yes","Quiet",2.57,86.7,7.05,1.4,83.4,82.4,2,"Yes",1
"Bachelor","Medium","Yes","Quiet",3.85,79.9,6.25,2.8,97.9,87,1,"No",1
"Master","Medium","Yes","Quiet",5.21,100,8.14,0.4,80.2,91.6,1,"No",1
"High School","Medium","Yes","Moderate",2.63,81.8,7.7,1.8,83.6,83.1,2,"No",1
"PhD","Medium","Yes","Quiet",3.67,98.7,6.48,5.3,100,68.1,2,"No",1
"Bachelor","Medium","Yes","Moderate",3.09,84.1,8.7,1.9,60.7,77.9,0,"No",1
"Bachelor","High","Yes","Moderate",5.55,81.1,8.76,2.8,94.4,65.1,0,"No",1
"Bachelor","Low","Yes","Noisy",4.71,95.8,7.47,2.2,74.5,88,2,"No",1
"PhD","Medium","Yes","Quiet",5.27,100,7.82,4.3,86.3,68.8,2,"No",1
"Bachelor","Medium","Yes","Moderate",4.95,100,8.21,3.4,88.9,44.3,3,"No",1
"Master","High","Yes","Moderate",2.16,98.9,6.07,1.6,100,70.7,1,"No",1
"High School","Medium","Yes","Quiet",3.65,79.6,8.39,2.1,73.4,96.2,0,"No",1
"Bachelor","Low","Yes","Moderate",3.2,99.2,6.68,3,68.2,85.5,0,"No",1
"Bachelor","Medium","Yes","Quiet",3.16,66.7,6.49,2,57,65.8,1,"Yes",1
"Master","Medium","Yes","Quiet",2.91,87.8,6.82,2.8,91.5,65.7,1,"Yes",1
"Bachelor","Medium","Yes","Quiet",4.1,88,7.26,1.1,78,69.1,2,"Yes",1
"High School","Low","Yes","Quiet",2.07,98.4,6.33,3.1,87.5,68.4,2,"No",1
"Bachelor","Low","Yes","Noisy",4.09,77.3,8.75,1.7,78.4,57.8,1,"No",1
"Bachelor","High","Yes","Noisy",6.13,97,5.67,3.7,65.5,40.2,4,"No",1
"Bachelor","Medium","Yes","Noisy",1.95,78.5,5.24,0.5,65.9,83.9,0,"Yes",1
"Master","Medium","Yes","Moderate",3.75,94,8.13,1,98.3,100,2,"Yes",1
"High School","Medium","Yes","Noisy",5.86,92.8,5.62,2.9,64.5,50.5,2,"Yes",1
"High School","High","Yes","Noisy",3.3,87,8.13,2.1,99.1,71.4,4,"No",1
"High School","Medium","Yes","Moderate",2.28,93,5.62,0.1,84.9,56.5,3,"No",1
"Master","Low","Yes","Noisy",3.5,75.6,6.6,1.7,100,71.1,2,"No",1
"Bachelor","Low","Yes","Quiet",4.37,93.6,5.49,0.7,85.5,79.6,2,"Yes",1
"High School","Medium","Yes","Moderate",4.87,84.4,6.87,0,80,58.4,1,"No",1
"Bachelor","Medium","Yes","Moderate",4.83,100,8.56,3.5,55.1,78.6,2,"No",1
"Bachelor","Medium","Yes","Quiet",4.19,83.4,5.76,2.1,100,53.7,1,"Yes",1
"Master","Medium","Yes","Quiet",3.78,82.1,5.89,2.2,69.8,58.6,3,"No",1
"High School","Medium","No","Noisy",3.68,90.3,5.79,4.7,93.3,62.8,0,"No",1
"Bachelor","Medium","Yes","Noisy",2.66,86.1,6.3,3.4,87.9,95.6,1,"No",1
"PhD","Medium","Yes","Quiet",3.18,84.2,5.73,0.9,85.8,56.6,4,"No",1
"High School","Low","No","Quiet",2.37,80.7,4.77,4.4,84.8,78.3,3,"No",1
"PhD","Medium","Yes","Noisy",5.81,79.5,7.06,5.3,71.9,73.6,1,"No",1
"Bachelor","Low","Yes","Quiet",2.94,86.8,6.81,0,65.4,31.8,1,"No",1
"Master","Low","Yes","Quiet",3.82,64.2,7.1,1.5,90.4,76.1,3,"No",1
"Bachelor","Low","No","Moderate",2.25,98.8,7.09,5.6,80.2,77.2,0,"Yes",1
"Bachelor","Low","Yes","Quiet",5.24,97.1,9.34,3.6,77.2,53,3,"No",1
"High School","Medium","Yes","Quiet",1.94,97.1,7.75,2.7,81,56.9,1,"No",1
"High School","Medium","Yes","Moderate",1.95,85.5,7.89,1.8,93.7,88.7,4,"Yes",1
"High School","Medium","Yes","Quiet",1.41,92,7.24,1.2,93.8,54.5,2,"No",1
"Bachelor","Low","Yes","Moderate",5.49,96.7,6.02,0.1,82.3,67.5,1,"No",1
"High School","Medium","Yes","Quiet",4.32,100,6.14,3.5,88.7,51.6,3,"No",1
"High School","Low","Yes","Noisy",2.63,67.8,6.86,1,68.7,43.6,2,"No",1
"High School","Low","Yes","Moderate",2.71,84.2,8.4,3.2,83.2,56.1,2,"No",1
"High School","Low","Yes","Moderate",3.1,91.3,7.56,0,70.7,77.3,3,"No",1
"High School","Medium","Yes","Moderate",3.43,73.2,6.05,2.3,83,89.1,1,"No",1
"Bachelor","Medium","Yes","Quiet",4.44,86.2,7.4,1.8,71.5,78.6,1,"No",1
"Bachelor","Medium","Yes","Quiet",2.49,80.5,6.41,1.2,71.4,88.9,4,"No",1
"Master","Medium","Yes","Noisy",5.34,71.1,6.6,2.6,91.6,100,3,"No",1
"High School","Low","Yes","Noisy",5.3,100,6.7,4.4,59.6,86.6,5,"No",1
"Bachelor","Medium","Yes","Noisy",3.19,100,8.38,0.1,89.1,80.2,0,"Yes",1
"Master","Low","Yes","Noisy",2.14,99.5,7.64,3.9,88.5,78.7,1,"Yes",1
"High School","Medium","Yes","Noisy",3.68,77.8,8.3,4.8,84.2,55.9,2,"No",1
"Master","Medium","Yes","Quiet",2.63,78.6,6.21,1.5,84.2,48.2,2,"No",1
"Master","Low","No","Moderate",2.94,73.4,6.1,0,75.7,91.1,5,"Yes",1
"Bachelor","High","Yes","Moderate",4.21,91.1,7.85,5.9,79.8,76,0,"No",1
"High School","Low","No","Noisy",2.43,77.2,6.47,1.3,72.3,81.6,2,"No",1
"Master","High","Yes","Quiet",3.91,95.8,5.93,3.4,88,80.3,4,"No",1
"High School","Medium","Yes","Moderate",4.05,83.7,5.62,3,96.4,66.3,2,"No",1
"Master","Medium","Yes","Quiet",3.33,94.9,6.74,0,78.9,44.1,4,"No",1
"High School","High","Yes","Quiet",2.56,59.6,9.19,1.4,96,71.6,3,"Yes",1
"Bachelor","Medium","Yes","Noisy",1.37,84.7,9.49,1.7,100,78.2,3,"No",1
"Bachelor","Medium","Yes","Quiet",2.97,100,7.82,3.9,83,50.7,5,"Yes",1
"High School","Medium","Yes","Quiet",3.17,92.4,7.61,1.9,92.5,57,0,"Yes",1
"Master","Medium","Yes","Moderate",3.19,96.9,7.15,0,81.7,75.6,1,"No",1
"Bachelor","Medium","No","Moderate",3.56,100,6.55,4.8,66.6,80.7,3,"No",1
"High School","High","Yes","Moderate",2.17,72.7,6.95,3.3,58.1,75.6,4,"Yes",1
"High School","Medium","Yes","Quiet",2.31,96.2,6.94,2.3,74.7,81.5,0,"Yes",1
"Master","Medium","No","Moderate",3.52,92.8,6.07,1.1,74.6,56.8,1,"No",1
"High School","Medium","Yes","Quiet",2.36,78.3,8.93,0.7,67.6,71.8,2,"No",1
"Master","High","Yes","Noisy",3.17,83.3,6.4,1.2,100,86.4,0,"No",1
"High School","Low","Yes","Noisy",4.39,92.2,7.41,2,67.8,70.2,2,"No",1
"Bachelor","Low","Yes","Quiet",3.43,87.4,6.73,0,86.2,74.5,4,"No",1
"High School","Low","Yes","Moderate",5.39,89.3,6.28,4.5,75.8,61,1,"No",1
"Bachelor","Low","Yes","Moderate",3.19,85.4,8.35,2.6,98.8,66.4,1,"Yes",1
"Bachelor","Low","Yes","Quiet",4.64,94,9.54,1.6,79.3,40.5,1,"No",1
"Master","Low","Yes","Quiet",4.37,70.4,6.81,3.5,86.7,96.9,4,"No",1
"PhD","Low","Yes","Moderate",5.07,96.7,6.07,0,42.4,66.3,1,"Yes",1
"PhD","Medium","No","Moderate",2.93,90.2,6.71,1.8,76.8,94.7,0,"No",1
"Bachelor","Medium","Yes","Moderate",2.22,74.1,9.1,3.3,98.7,65.4,2,"No",1
"Master","Medium","Yes","Quiet",2.99,81.8,6.66,0.7,68.4,60.7,2,"No",1
"Master","Medium","Yes","Quiet",3.06,85.5,6.35,1.1,58.9,87.2,1,"No",1
"Bachelor","Medium","Yes","Quiet",3.81,80.6,6.81,0.1,92.5,76.9,0,"No",1
"High School","Low","Yes","Quiet",3.65,94,7.37,2.7,76.5,72.7,4,"Yes",1
"High School","Medium","Yes","Noisy",3.81,90.9,7.59,3.4,76.4,74.3,2,"No",1
"High School","Medium","Yes","Moderate",2.15,99.9,7.6,0,76.9,81.3,2,"No",1
"PhD","Low","Yes","Quiet",3.42,95.2,6.78,0,51.7,89.3,2,"No",1
"Bachelor","Low","Yes","Moderate",3.49,80.8,8.07,4.3,76.5,64.7,1,"No",1
"Bachelor","Low","Yes","Moderate",2.89,98.9,7.02,1.6,88.2,57,1,"No",1
"PhD","Medium","Yes","Noisy",1.95,71.4,7.83,1.3,85.7,69.2,3,"Yes",1
"Bachelor","Medium","Yes","Moderate",3.62,90.4,6.38,5.4,66.7,85.4,1,"Yes",1
"PhD","Medium","Yes","Noisy",4.39,86.7,5.8,0.6,100,98.9,3,"No",1
"High School","Medium","Yes","Moderate",4.24,71.3,5.95,5.4,96.3,81.8,1,"No",1
"High School","Medium","Yes","Quiet",5.35,84.5,6.12,0.4,100,71.4,1,"No",1
"Bachelor","Medium","Yes","Moderate",3.85,96,7.08,2.5,100,78.9,5,"No",1
"High School","Low","Yes","Moderate",2.97,97.6,8.49,1.2,78.8,61.4,1,"Yes",1
"High School","Low","No","Quiet",3.66,83.9,6.05,2.5,65.3,76.5,1,"No",1
"Bachelor","Low","Yes","Moderate",4.51,79.9,6.98,3.1,97.2,69.4,3,"No",1
"Master","Low","Yes","Quiet",2.78,92.2,8.65,1.3,78.9,44.2,2,"No",1
"Master","Medium","Yes","Moderate",4.48,73.2,5.79,0,92.6,67.7,1,"Yes",1
"Bachelor","High","Yes","Moderate",4.22,94.7,7.16,4.8,60.9,100,2,"Yes",1
"Bachelor","Medium","Yes","Moderate",1.82,97.3,6.87,2.2,64,63.7,2,"Yes",1
"PhD","Low","Yes","Moderate",1.76,73.6,7.57,2.2,70.5,87.4,3,"No",1
"Bachelor","High","Yes","Quiet",4.56,99.7,6.06,4.5,94.3,88.5,0,"Yes",1
"Bachelor","Low","Yes","Quiet",5.29,91.7,5.85,4.1,66.7,51.5,2,"Yes",1
"High School","Low","Yes","Moderate",5.15,77.3,7.66,3,85.7,71.2,0,"No",1
"Bachelor","Low","Yes","Quiet",1.61,100,7.13,4,90.6,73.2,0,"No",1
"PhD","Medium","Yes","Quiet",2.95,96.4,8.8,2.2,98.7,80.7,2,"No",1
"Bachelor","Medium","Yes","Noisy",3.62,100,7.54,1.6,97.1,74.1,3,"Yes",1
"High School","Low","Yes","Noisy",1.55,82.3,8.18,0.1,68.2,48.4,4,"Yes",1
"Bachelor","Medium","Yes","Moderate",3.19,88.3,5.59,1.7,59.7,65.9,6,"No",1
"Bachelor","Low","Yes","Quiet",2.19,78.4,7.49,0.2,88,58.2,4,"No",1
"Bachelor","Medium","Yes","Moderate",3.43,80.7,6.33,2.7,92.6,53.2,5,"No",1
"Master","High","Yes","Moderate",2.35,78.5,6.58,3.8,100,73.7,0,"No",1
"High School","Medium","Yes","Noisy",3.61,87.9,6.33,1.8,57.5,53,4,"Yes",1
"Master","High","Yes","Quiet",4.13,61.8,6.9,3.9,74.1,67.6,1,"No",1
"Master","Medium","No","Quiet",3.67,86.9,4.84,2.9,97.6,73.6,1,"No",1
"Bachelor","Low","Yes","Quiet",3.67,65.7,7.55,1.3,62.4,87.5,3,"No",1
"Master","Medium","Yes","Quiet",4.19,73.2,7.9,2.5,90.7,99.6,1,"No",1
"Bachelor","Medium","Yes","Noisy",3.17,79.8,8.54,0.3,71.9,73.4,1,"No",1
"High School","Low","Yes","Moderate",3.93,82.2,7.17,3.7,82.1,68.4,3,"No",1
"High School","Low","Yes","Quiet",2.76,91.6,7.58,1.2,97.8,57.1,2,"Yes",1
"Master","Medium","Yes","Noisy",4.09,100,7.64,0.8,100,52.9,3,"No",1
"High School","Medium","Yes","Quiet",3.25,89.9,8.12,1.7,90.7,61.2,3,"No",1
"Bachelor","Medium","Yes","Quiet",4.17,76.1,7,2.1,100,60.1,1,"Yes",1
"Master","High","Yes","Moderate",5.68,100,7.79,3.6,76.7,63.8,4,"No",1
"Master","High","Yes","Noisy",4.88,100,6.66,2.7,100,94,2,"No",1
"High School","Medium","Yes","Quiet",5.8,76.6,7.9,2.1,100,87.6,2,"No",1
"Bachelor","Medium","Yes","Moderate",4.52,90.2,7.29,2,89.5,73.9,2,"No",1
"High School","Medium","Yes","Quiet",3.79,89.2,5.93,2.4,78.9,52.2,2,"No",1
"High School","High","Yes","Quiet",4.7,73.9,6.52,4.3,68.1,54.6,1,"Yes",1
"Bachelor","Medium","Yes","Quiet",2.78,78,8.46,3.3,57.2,65.4,2,"No",1
"High School","Medium","Yes","Moderate",3.62,83.9,7.21,1.2,90.4,82.6,2,"No",1
"Master","High","Yes","Noisy",5.88,97.6,6.65,3,89.6,69.4,2,"No",1
"High School","Medium","Yes","Moderate",2.37,90.3,7.47,1.6,100,60.9,1,"No",1
